nome,nome,votos
MARIA SILVANA RODRIGUES SOARES,MARIA SILVANA RODRIGUES SOARES,116.00000000000003
ILDO RAFAEL DE VASCONCELOS,ILDO RAFAEL DE VASCONCELOS,3782.0000000000027
PAULA CAVALCANTE AMELIO SILVA,PAULA CAVALCANTE AMELIO SILVA,20.0
LUIZ ALBERTO ALVES TEIXEIRA,LUIZ ALBERTO ALVES TEIXEIRA,4568.000000000003
ANTONIO CARLOS AZEVEDO LESSA,ANTONIO CARLOS AZEVEDO LESSA,7464.000000000001
MARCELO ALVES DA SILVA,MARCELO ALVES DA SILVA,507.9999999999999
SERGIO CABRAL BARBOSA,SERGIO CABRAL BARBOSA,1045.0000000000005
SONIA MARIA TEIXEIRA SOARES,SONIA MARIA TEIXEIRA SOARES,43.99999999999999
TACIANA CORREIA SILVA,TACIANA CORREIA SILVA,186.00000000000003
MARIA LIGIA MININ DE LINS,MARIA LIGIA MININ DE LINS,662.0
ANTONIO NELSON OLIVEIRA DE AZEVEDO,ANTONIO NELSON OLIVEIRA DE AZEVEDO,5836.000000000004
JOSÉ REGIS BARROS CAVALCANTE,JOSÉ REGIS BARROS CAVALCANTE,13986.0
LUCAS COSTA MOREIRA CESAR BARBOSA,LUCAS COSTA MOREIRA CESAR BARBOSA,4394.0
MAURÍCIO QUINTELLA MALTA LESSA,MAURÍCIO QUINTELLA MALTA LESSA,76706.00000000003
NIVALDO FERREIRA DE ALBUQUERQUE NETO,NIVALDO FERREIRA DE ALBUQUERQUE NETO,66910.0
EDSON MAIA NOBRE DE ABREU,EDSON MAIA NOBRE DE ABREU,1901.0000000000002
FLAVIO HENRIQUE CATÃO NOGUEIRA,FLAVIO HENRIQUE CATÃO NOGUEIRA,709.0000000000002
JOSÉ FRANCISCO DE LIMA,JOSÉ FRANCISCO DE LIMA,2273.000000000001
MARCOS ANTÔNIO VIEIRA DA SILVA,MARCOS ANTÔNIO VIEIRA DA SILVA,1519.0000000000005
ARTHUR CESAR PEREIRA DE LIRA,ARTHUR CESAR PEREIRA DE LIRA,98230.99999999999
JOSE JULIO DE ALMEIDA FILHO,JOSE JULIO DE ALMEIDA FILHO,8595.999999999996
MARIA FATIMA GALINA FORTES FERREIRA SANTIAGO,MARIA FATIMA GALINA FORTES FERREIRA SANTIAGO,15383.999999999995
WELLINGTON RODRIGUES FRAGOSO,WELLINGTON RODRIGUES FRAGOSO,3517.0000000000027
JOÃO HENRIQUE HOLANDA CALDAS,JOÃO HENRIQUE HOLANDA CALDAS,135928.99999999994
AUDINEIDE SILVA CAVALCANTE,AUDINEIDE SILVA CAVALCANTE,37.99999999999999
CRISTIANE MARQUES SAMPAIO,CRISTIANE MARQUES SAMPAIO,173.0
ROSEANE CAVALCANTE DE FREITAS,ROSEANE CAVALCANTE DE FREITAS,27116.000000000007
JOSÉ JERÔNIMO DE FARIAS NETO,JOSÉ JERÔNIMO DE FARIAS NETO,758.0000000000003
RONALDO AUGUSTO LESSA SANTOS,RONALDO AUGUSTO LESSA SANTOS,88124.99999999996
CARLOS ALBERTO DA SILVA,CARLOS ALBERTO DA SILVA,271.0000000000001
MARIA APARECIDA GERMANO DOS SANTOS,MARIA APARECIDA GERMANO DOS SANTOS,679.9999999999998
ROSIETE GOIS RAMOS,ROSIETE GOIS RAMOS,857.0000000000001
FERNANDO ANTÔNIO MACEDO HOLANDA,FERNANDO ANTÔNIO MACEDO HOLANDA,14553.000000000007
PAULO FERNANDO DOS SANTOS,PAULO FERNANDO DOS SANTOS,53284.00000000004
JOÃO JOSÉ PEREIRA DE LYRA,JOÃO JOSÉ PEREIRA DE LYRA,102.00000000000001
ROBERTO CARLOS TEIXEIRA GOMES,ROBERTO CARLOS TEIXEIRA GOMES,1685.0
ANTONIO CARLOS RAMOS,ANTONIO CARLOS RAMOS,5027.000000000001
IVON BERTO TIBURCIO DE LIMA,IVON BERTO TIBURCIO DE LIMA,6365.999999999997
GIVALDO DE SÁ GOUVEIA CARIMBÃO,GIVALDO DE SÁ GOUVEIA CARIMBÃO,82582.00000000004
JAMISON RODRIGUES DA SILVA,JAMISON RODRIGUES DA SILVA,1576.9999999999995
ALEXANDRE MURTA DE ARAÚJO ROCHA,ALEXANDRE MURTA DE ARAÚJO ROCHA,3782.9999999999995
CARLOS EUGÊNIO LESSA DE AZEVEDO SAMPAIO,CARLOS EUGÊNIO LESSA DE AZEVEDO SAMPAIO,10307.0
FRANCISCO DE SOUZA IRMÃO,FRANCISCO DE SOUZA IRMÃO,4798.000000000001
HEMERSON CASADO GAMA,HEMERSON CASADO GAMA,15101.999999999987
MARIA DE FÁTIMA DOS SANTOS,MARIA DE FÁTIMA DOS SANTOS,281.00000000000006
MARX BELTRÃO LIMA SIQUEIRA,MARX BELTRÃO LIMA SIQUEIRA,123317.00000000004
PEDRO RODRIGUES GAIA NETO,PEDRO RODRIGUES GAIA NETO,3864.000000000002
VENANCIO DOS ANJOS TELES,VENANCIO DOS ANJOS TELES,3354.0000000000014
JORGE VI LAMENHA LINS,JORGE VI LAMENHA LINS,8515.000000000007
VANILDO RUFINO DOS SANTOS,VANILDO RUFINO DOS SANTOS,4169.999999999998
ROGERIO AUTO TEOFILO,ROGERIO AUTO TEOFILO,47096.99999999996
PEDRO TORRES BRANDÃO VILELA,PEDRO TORRES BRANDÃO VILELA,119581.99999999996
MARCOS ANTONIO FERREIRA NUNES,MARCOS ANTONIO FERREIRA NUNES,5280.000000000004
CLIUTON SANTOS,CLIUTON SANTOS,425.00000000000017
ZEDEQUIAS ALVES RIBEIRO,ZEDEQUIAS ALVES RIBEIRO,1767.9999999999995
MARIA DO ROSÁRIO BARBOZA DA SILVA,MARIA DO ROSÁRIO BARBOZA DA SILVA,205.99999999999994
GESIEL ANTÔNIO DE OLIVEIRA,GESIEL ANTÔNIO DE OLIVEIRA,2776.0
JAILTON SANTOS COSTA,JAILTON SANTOS COSTA,3227.0000000000014
MEIRE ROSE NUNES ALVES,MEIRE ROSE NUNES ALVES,80.00000000000003
ADERVAL ROCHA TENÓRIO,ADERVAL ROCHA TENÓRIO,19392.000000000015
JULIO CESAR MARTINS DE CERQUEIRA,JULIO CESAR MARTINS DE CERQUEIRA,2189.9999999999995
CLAUDIANE PINHEIRO ARAÚJO,CLAUDIANE PINHEIRO ARAÚJO,1813.9999999999995
WODISON LOPES SILVA,WODISON LOPES SILVA,31.0
ALBERTO SAMUEL ALCOLUMBRE TOBELEM,ALBERTO SAMUEL ALCOLUMBRE TOBELEM,3843.000000000001
LUIZ CARLOS GOMES DOS SANTOS JUNIOR,LUIZ CARLOS GOMES DOS SANTOS JUNIOR,9666.999999999996
JOSE ANDRE DA SILVA BALIEIRO,JOSE ANDRE DA SILVA BALIEIRO,210.00000000000003
SEBASTIÃO FERREIRA DA ROCHA,SEBASTIÃO FERREIRA DA ROCHA,7299.999999999996
DALCILENE ANDRADE DE SOUSA,DALCILENE ANDRADE DE SOUSA,241.00000000000009
WELLINGTON DE SOUZA GOES,WELLINGTON DE SOUZA GOES,738.9999999999998
CLESIO CASTRO DO CARMO,CLESIO CASTRO DO CARMO,1378.9999999999995
VALCINETE FARIAS SANTANA,VALCINETE FARIAS SANTANA,1748.0000000000002
WALTER MONTEIRO BENATHAR,WALTER MONTEIRO BENATHAR,1652.9999999999998
LUCAS ABRAHAO ROSA CEZARIO DE ALMEIDA,LUCAS ABRAHAO ROSA CEZARIO DE ALMEIDA,7278.000000000001
LEONETI DOS SANTOS COSTA,LEONETI DOS SANTOS COSTA,2018.9999999999993
RAIMUNDO LAESTE SENA LIMA,RAIMUNDO LAESTE SENA LIMA,145.99999999999997
MIRAELSON COUTINHO TEIXEIRA ALVES,MIRAELSON COUTINHO TEIXEIRA ALVES,1824.0000000000002
CONCEIÇÃO CORREA MEDEIROS,CONCEIÇÃO CORREA MEDEIROS,7443.000000000002
GUARABICHABA MARTINS FERREIRA,GUARABICHABA MARTINS FERREIRA,262.99999999999994
EDUARDO BRASIL DANTAS,EDUARDO BRASIL DANTAS,296.00000000000006
ANTÔNIO ROBERTO RODRIGUES GÓES DA SILVA,ANTÔNIO ROBERTO RODRIGUES GÓES DA SILVA,22133.99999999999
ALDICLEIA LIRA GÓES,ALDICLEIA LIRA GÓES,30.0
JOSÉ LUIZ DA SILVA FERREIRA,JOSÉ LUIZ DA SILVA FERREIRA,992.0000000000003
MARIZETE GÓES DE MAGALHÃES,MARIZETE GÓES DE MAGALHÃES,1324.0
VANDA CHERFEN DE SOUZA,VANDA CHERFEN DE SOUZA,220.99999999999997
IRACELIA BARBOSA RODRIGUES,IRACELIA BARBOSA RODRIGUES,166.99999999999997
ALISON DIEGO DOS SANTOS PINHEIRO,ALISON DIEGO DOS SANTOS PINHEIRO,5947.000000000001
AMARILDO PORTO ARAÚJO,AMARILDO PORTO ARAÚJO,361.9999999999999
EURICELIA MELO CARDOSO,EURICELIA MELO CARDOSO,5714.999999999996
FÁTIMA LÚCIA PELAES,FÁTIMA LÚCIA PELAES,17542.00000000001
HILTON JOSE DA SILVA ALENCAR,HILTON JOSE DA SILVA ALENCAR,143.0
JACI ALMEIDA SIQUEIRA,JACI ALMEIDA SIQUEIRA,370.9999999999999
LUIZ GIONILSON PINHEIRO BORGES,LUIZ GIONILSON PINHEIRO BORGES,18709.000000000015
MARIA DE NAZARÉ DIAS FERREIRA,MARIA DE NAZARÉ DIAS FERREIRA,18.999999999999996
TELMA ADRIANA NERY PAIVA,TELMA ADRIANA NERY PAIVA,9247.000000000005
ALLAN ROSAS SALES,ALLAN ROSAS SALES,3093.0000000000023
JOSE ARNOUDO ALVES DE AMORIM,JOSE ARNOUDO ALVES DE AMORIM,764.9999999999998
DENISE APARECIDA MORELLI RIBEIRO,DENISE APARECIDA MORELLI RIBEIRO,80.00000000000003
